Name,Pricing/Primary Category/Name,Sale Price
SALUTE,All products,120000
Cash on delivery,Service,45500
10040,Bazaar( no unit price ),4000000
8935093534366,Kitchen textile,55000
8935093534571,Seat Cushions,200000
ACCENT,"Candles, Tealights and Holders",420000
ADAM,Kids Furnitures,2002000
AGILITY,Organisers,95000
AGILITY,Coffee tables and Side tables,390000
AGILITY,Coffee tables and Side tables,490000
AGILITY,Plant pots,105000
AGILITY,Coffee tables and Side tables,290000
AGILITY,Frames and Pictures,290000
AGILITY,"Bar and CafeTables, Stools and Dining Benches",1490000
AGILITY,"Small storage, Boxes and Crates",75000
AGRESSO,Coffee tables and Side tables,550000
AGRESSO,Coffee tables and Side tables,1450000
AGRESSO,Coffee tables and Side tables,950000
AGRESSO,Coffee tables and Side tables,750000
AGRESSO,Coffee tables and Side tables,1940000
AGRESSO,Coffee tables and Side tables,950000
AGRIPPA,Bed Textile,850000
AKELA,Display Shelves and display cases,290000
AKITA,Dining tables,13900000
AKITA,Dining chairs,1150000
ALADDIN,Table and desk lamps,280000
Alarm Clock,Clocks,190000
Alarm Clock-8935093534441,Clocks,295000
Alarm Clock-8935093534458,Clocks,160000
Alarm Clock-8935093534465,Clocks,120000
Alarm Clock-8935093534472,Clocks,95000
ALASKA,Christmas,150000
ALASKA,Christmas,2900000
ALASKA,Christmas,1200000
ALASKA,Christmas,600000
ALBANY,Wardrobes and Clothes storage,14900000
ALBANY,Beds,17500000
ALBANY,Chest of Drawers and Dressing Tables,6500000
ALBANY,Chest of Drawers and Dressing Tables,7900000
ALBANY,Mirrors,1500000
ALBANY,Wardrobes and Clothes storage,19900000
ALBANY,Beds,16500000
ALBANY,Wardrobes and Clothes storage,9900000
ALBANY,Around the Bed,2600000
ALEPPO,Bath mats and Shower curtains,120000
ALEX,Table and desk lamps,350000
ALFONSO,Preparing and Storing,95000
ALFONSO,Eating,120000
ALFONSO,Eating,150000
ALFONSO,Eating,290000
ALFONSO,Preparing and Storing,95000
ALFONSO,Eating,120000
ALFRED,Eating,1190000
ALI,Chest of Drawers and Dressing Tables,4900000
ALI,Decoration,150000
ALI BABA,Table and desk lamps,800000
ALPACA,"Coffee and Tea(Mugs, Cups,Teapots)",75000
ALPACA,Preparing and Storing,95000
ALPACA,"Coffee and Tea(Mugs, Cups,Teapots)",85000
ALPACA,Eating,145000
ALPACA,"Coffee and Tea(Mugs, Cups,Teapots)",280000
ALPACA,Preparing and Storing,125000
ALPACA,Serving,290000
ALPACA,Serving,55000
ALPINA,Setting the Table,49000
ALPINA,Tet,890000
AMANDA,Accessories,115000
AMANDA,Serving,145000
AMANDA,Accessories,190000
AMANDA,Serving,95000
AMANDA,Serving,115000
AMBROSIA,Drinking,45000
AMELIA,Setting the Table,120000
ANA MAI,Bags and accessories,150000
ANATOLIA,Dining chairs,890000
ANGELA,Cushions and Covers,75000
ANGLIA,Drinking,95000
ANGLIA,Serving,99000
ANGLIA,Serving,190000
ANGLIA,Serving,190000
ANGLIA,Drinking,105000
ANGLIA,Serving,250000
ANGLIA,Dining chairs,990000
ANGLIA,Beds,5900000
ANGLIA,Around the Bed,1990000
ANNA,Serving,55000
ANNA,Organisers,200000
ANNA,Setting the Table,14000
ANNA,"Small storage, Boxes and Crates",18000
ANNAM,Ceiling lights,945000
ANNAM,Ceiling lights,645000
ANNAM,Ceiling lights,595000
ANNAM,Table and desk lamps,545000
ANNAM,Ceiling lights,895000
ANNAM,Ceiling lights,950000
ANNAM,Ceiling lights,545000
ANNAM,Ceiling lights,390000
ANNAM,Ceiling lights,890000
ANNAM,Ceiling lights,495000
ANNAM,Ceiling lights,495000
ANNAM,Ceiling lights,545000
ANNAM,Table and desk lamps,1290000
ANNAM,Ceiling lights,495000
ANNAM,Ceiling lights,990000
ANNIE,Eating,85000
ANNIE,Eating,95000
ANNIE,Eating,120000
ANNIE,Eating,85000
ANNIE,"Coffee and Tea(Mugs, Cups,Teapots)",95000
ANNIE,"Coffee and Tea(Mugs, Cups,Teapots)",65000
ANT,"Small storage, Boxes and Crates",6000
ANT,"Small storage, Boxes and Crates",10000
ANT,"Small storage, Boxes and Crates",15000
ANT,"Small storage, Boxes and Crates",35000
ANT,"Small storage, Boxes and Crates",25000
ANT,"Small storage, Boxes and Crates",20000
ANT,"Small storage, Boxes and Crates",50000
ANT,"Small storage, Boxes and Crates",15000
ANT,"Small storage, Boxes and Crates",15000
ANT,"Small storage, Boxes and Crates",10000
ANT,"Small storage, Boxes and Crates",6000
ANT,"Small storage, Boxes and Crates",8000
ANT,"Small storage, Boxes and Crates",10000
ANT,"Small storage, Boxes and Crates",45000
ANT,"Small storage, Boxes and Crates",70000
ANT,"Small storage, Boxes and Crates",80000
ANTIQUE,Drinking,55000
